latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
34.90375,8.54141,303.18,0.39,0.36,2025-08-18,109,N21,VIIRS,n,2.0NRT,293.08,0.67,N
31.64612,9.16954,343.45,0.49,0.65,2024-09-08,202,N21,VIIRS,n,2.0NRT,292.24,7.32,N
33.87281,9.98972,309.26,0.38,0.43,2024-07-10,45,N21,VIIRS,n,2.0NRT,298.08,1.24,N
36.61283,10.44484,328.55,0.38,0.36,2025-10-27,1219,N21,VIIRS,n,2.0NRT,298.06,1.91,D
36.82808,9.80964,330.36,0.45,0.63,2024-08-29,1128,N21,VIIRS,n,2.0NRT,299.56,1.56,D
31.64853,9.17275,350.59,0.47,0.4,2024-07-08,1242,N21,VIIRS,n,2.0NRT,319.76,6.44,D
31.64816,9.17073,342.64,0.39,0.44,2024-10-30,1204,N21,VIIRS,n,2.0NRT,311.01,5.82,D
37.11548,9.81183,337.01,0.52,0.67,2025-09-12,1121,N21,VIIRS,n,2.0NRT,297.92,3.84,D
36.60991,9.06773,367.0,0.32,0.54,2025-08-27,1301,N21,VIIRS,h,2.0NRT,311.55,14.94,D
36.35424,9.16668,337.09,0.41,0.37,2025-09-03,1232,N21,VIIRS,l,2.0NRT,308.18,4.38,D
35.78889,10.65946,301.82,0.32,0.55,2025-06-13,147,N21,VIIRS,n,2.0NRT,291.64,0.63,N
36.58931,10.31802,303.77,0.38,0.36,2024-09-16,109,N21,VIIRS,n,2.0NRT,289.46,1.01,N
36.15733,10.28469,297.23,0.44,0.39,2025-03-05,121,N21,VIIRS,n,2.0NRT,280.01,0.87,N
32.00015,9.49344,345.45,0.53,0.5,2025-07-03,1151,N21,VIIRS,n,2.0NRT,312.83,4.88,D
36.49902,10.02626,305.08,0.42,0.61,2025-06-07,200,N21,VIIRS,n,2.0NRT,293.12,0.68,N
31.64667,9.17325,343.46,0.56,0.43,2024-04-08,1246,N21,VIIRS,l,2.0NRT,317.51,2.22,D
35.77543,9.89032,305.6,0.39,0.36,2024-09-05,115,N21,VIIRS,n,2.0NRT,292.91,0.73,N
31.64724,9.17173,338.0,0.5,0.49,2024-09-23,39,N21,VIIRS,n,2.0NRT,291.58,6.2,N
33.47866,11.10819,299.19,0.45,0.39,2024-04-14,115,N21,VIIRS,n,2.0NRT,287.19,0.39,N
36.88076,9.30501,333.05,0.41,0.37,2025-10-05,1229,N21,VIIRS,n,2.0NRT,303.85,2.05,D
36.24894,9.14714,343.47,0.49,0.65,2025-09-17,1128,N21,VIIRS,n,2.0NRT,307.54,8.52,D
33.87148,9.99349,301.53,0.54,0.42,2025-02-06,130,N21,VIIRS,n,2.0NRT,281.31,1.52,N
37.17974,9.52843,367.0,0.42,0.61,2024-01-18,1308,N21,VIIRS,h,2.0NRT,294.45,15.96,D
36.96393,9.22554,337.85,0.44,0.46,2025-08-01,1251,N21,VIIRS,n,2.0NRT,300.37,4.77,D
36.21397,9.64474,338.79,0.63,0.54,2025-07-25,1140,N21,VIIRS,n,2.0NRT,301.9,36.78,D
31.99747,9.49113,298.34,0.58,0.69,2025-10-24,13,N21,VIIRS,n,2.0NRT,286.57,0.86,N
35.258,10.59097,335.07,0.48,0.48,2025-07-30,1147,N21,VIIRS,l,2.0NRT,305.82,2.58,D
31.64679,9.16739,297.43,0.61,0.71,2024-05-08,206,N21,VIIRS,n,2.0NRT,286.54,1.03,N
31.64792,9.16969,338.28,0.49,0.48,2024-07-21,39,N21,VIIRS,n,2.0NRT,299.62,8.38,N
35.4199,8.81503,351.95,0.44,0.63,2025-08-05,1134,N21,VIIRS,n,2.0NRT,313.69,4.55,D
