GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core-service,com.nexusaid.core.controller.domains.diffusion,DiffusionController,38,0,0,0,6,0,4,0,4,0
core-service,com.nexusaid.core.messaging,EventPublisher,244,0,0,0,54,0,10,0,10,0
core-service,com.nexusaid.core.messaging,EventConsumer,325,0,30,0,65,0,21,0,6,0
core-service,com.nexusaid.core.controller.domains.immigration,ImmigrationController,63,0,0,0,11,0,7,0,7,0
core-service,com.nexusaid.core.controller.domains.jeunesse,JeunesseController,120,0,0,0,20,0,16,0,16,0
core-service,com.nexusaid.core.controller,InterventionController,151,0,6,0,26,0,12,0,9,0
core-service,com.nexusaid.core.controller,VolunteerOnboardingController,421,0,18,0,83,0,31,0,22,0
core-service,com.nexusaid.core.controller,AuthController,58,49,6,2,15,12,6,3,2,3
core-service,com.nexusaid.core.controller,CalendarEventController,24,0,0,0,5,0,4,0,4,0
core-service,com.nexusaid.core.controller,MonthlyReportController,41,0,0,0,5,0,5,0,5,0
core-service,com.nexusaid.core.controller,TeamSyncController,149,0,20,0,44,0,11,0,1,0
core-service,com.nexusaid.core.controller,ComplaintController,53,0,0,0,8,0,7,0,7,0
core-service,com.nexusaid.core.controller,CommitteeController,101,0,0,0,24,0,10,0,10,0
core-service,com.nexusaid.core.controller,BadgeController,60,0,2,0,12,0,4,0,3,0
core-service,com.nexusaid.core.controller,ManagementCompatibilityController,106,0,2,0,22,0,8,0,7,0
core-service,com.nexusaid.core.controller,StockAlertController,28,0,0,0,4,0,4,0,4,0
core-service,com.nexusaid.core.controller,QuizController,61,0,0,0,12,0,10,0,10,0
core-service,com.nexusaid.core.controller,InventoryController,63,0,0,0,10,0,7,0,7,0
core-service,com.nexusaid.core.controller,ProfileController,102,0,0,0,19,0,9,0,9,0
core-service,com.nexusaid.core.controller,NewsController,24,0,0,0,5,0,4,0,4,0
core-service,com.nexusaid.core.controller,SecurityDashboardController,60,0,4,0,12,0,7,0,5,0
core-service,com.nexusaid.core.entity.domains.sante,ActionChief,4,0,0,0,2,0,1,0,1,0
core-service,com.nexusaid.core.entity.domains.sante,BeneficiaryHealthFile,4,0,0,0,2,0,1,0,1,0
core-service,com.nexusaid.core.controller.domains.vff,VffController,55,0,0,0,10,0,7,0,7,0
core-service,com.nexusaid.core.security,DatabaseSeeder,327,0,2,0,64,0,5,0,4,0
core-service,com.nexusaid.core.security,CustomUserDetailsService,41,0,2,0,10,0,4,0,3,0
core-service,com.nexusaid.core.security,JwtAuthenticationFilter,65,9,10,0,17,4,6,1,1,1
core-service,com.nexusaid.core.security,SecurityConfig,113,0,0,0,23,0,7,0,7,0
core-service,com.nexusaid.core.security,JwtService,309,0,18,0,72,0,28,0,19,0
core-service,com.nexusaid.core.security,JwtEnvironmentValidator,43,0,12,0,8,0,8,0,2,0
core-service,com.nexusaid.core.security,UserDetailsImpl,91,0,8,0,20,0,13,0,9,0
core-service,com.nexusaid.core.service.domains.sante,SanteService,63,0,0,0,13,0,8,0,8,0
core-service,com.nexusaid.core.controller.domains.social,SocialController,55,28,0,0,10,6,7,4,7,4
core-service,com.nexusaid.core.service.domains.jeunesse,JeunesseService,385,0,28,0,85,0,31,0,17,0
core-service,com.nexusaid.core.service.domains.jeunesse,RecommendationAiService,165,0,2,0,31,0,3,0,2,0
core-service,com.nexusaid.core,CoreServiceApplication,5,7,0,0,2,2,1,2,1,2
core-service,com.nexusaid.core.entity.domains.social,Family,4,0,0,0,2,0,1,0,1,0
core-service,com.nexusaid.core.entity.domains.social,VulnerabilityScore,4,0,0,0,2,0,1,0,1,0
